"client_id","gender","age","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ"
198,"1","18","236.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
199,"1","24","179.0000000000000000","64","4","21665600.00",0,0,0,0,1,0,1,1,1
201,"0","32","312.0000000000000000","78","3","57385900.00",0,1,0,0,1,0,1,0,0
203,"0","22","365.2500000000000000","117","3","91070850.00",0,1,0,1,0,0,1,0,0
204,"0","7","880.5000000000000000","28","2","3099600.00",0,0,0,0,0,1,0,0,1
205,"1","24","294.0000000000000000","240","6","118130000.00",1,1,0,0,1,0,1,1,1
207,"0","38","156.0000000000000000","14","1","13920200.00",0,0,0,0,0,0,1,0,0
208,"0","5","365.2500000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1
209,"0","47","721.2500000000000000","93","3","68421650.00",0,1,0,0,1,0,1,0,0
211,"1","36","1628.0000000000000000","60","3","22654000.00",0,0,0,0,1,0,1,1,0
212,"1","8","971.5000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1
215,"1","25","365.2500000000000000","102","3","79748700.00",0,1,0,0,0,0,1,1,0
216,"0","5","911.5000000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1
217,"0","22","365.2500000000000000","99","3","77059950.00",0,1,0,1,0,0,1,0,0
219,"0","10","179.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
220,"0","46","1171.7500000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0
221,"0","17","725.2500000000000000","99","3","77059950.00",0,1,0,1,0,0,1,0,0
222,"1","20","365.2500000000000000","160","4","93822000.00",0,1,0,0,1,0,1,1,0
223,"1","7","2004.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
224,"0","25","1049.5000000000000000","215","5","126542550.00",1,1,0,1,0,0,1,0,1
225,"1","39","700.2500000000000000","34","2","19255900.00",0,0,0,0,0,0,1,1,0
226,"1","12","24.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
227,"0","16","926.5000000000000000","90","3","70054500.00",0,1,0,1,0,0,1,0,0
228,"0","7","1032.5000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1
229,"0","16","1064.5000000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0
230,"0","8","1505.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
231,"0","32","1394.7500000000000000","102","3","88177300.00",1,1,0,0,0,0,1,0,0
